gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1292012404	StillImage	image/jpeg	https://beaty.b-cdn.net/M017163b.jpg											
1292012404	StillImage	image/jpeg	https://beaty.b-cdn.net/M017163.jpg											
1292012402	StillImage	image/jpeg	https://beaty.b-cdn.net/M017229b.jpg											
1292012402	StillImage	image/jpeg	https://beaty.b-cdn.net/M017229.jpg											
1292012402	StillImage	image/jpeg	https://beaty.b-cdn.net/M017229a.jpg											
1292012402	StillImage	image/jpeg	https://beaty.b-cdn.net/M017229c.jpg											
1292012361	StillImage	image/jpeg	https://beaty.b-cdn.net/M017169.jpg											
1292012361	StillImage	image/jpeg	https://beaty.b-cdn.net/M017169a.jpg											
1292012078	StillImage	image/jpeg	https://beaty.b-cdn.net/M016825.jpg											
1292012078	StillImage	image/jpeg	https://beaty.b-cdn.net/M016825b.jpg											
1292012078	StillImage	image/jpeg	https://beaty.b-cdn.net/M016825a.jpg											
1292012045	StillImage	image/jpeg	https://beaty.b-cdn.net/M016895b.jpg											
1292012045	StillImage	image/jpeg	https://beaty.b-cdn.net/M016895a.jpg											
1292012045	StillImage	image/jpeg	https://beaty.b-cdn.net/M016895.jpg											
1292012045	StillImage	image/jpeg	https://beaty.b-cdn.net/M016895c.jpg											
1292011991	StillImage	image/jpeg	https://beaty.b-cdn.net/M016757a.jpg											
1292011991	StillImage	image/jpeg	https://beaty.b-cdn.net/M016757.jpg											
1292011837	StillImage	image/jpeg	https://beaty.b-cdn.net/M016559a.jpg											
1292011837	StillImage	image/jpeg	https://beaty.b-cdn.net/M016559c.jpg											
1292011837	StillImage	image/jpeg	https://beaty.b-cdn.net/M016559b.jpg											
1292011837	StillImage	image/jpeg	https://beaty.b-cdn.net/M016559d.jpg											
1292011837	StillImage	image/jpeg	https://beaty.b-cdn.net/M016559.jpg											
1292011828	StillImage	image/jpeg	https://beaty.b-cdn.net/M016558a.jpg											
1292011828	StillImage	image/jpeg	https://beaty.b-cdn.net/M016558c.jpg											
1292011828	StillImage	image/jpeg	https://beaty.b-cdn.net/M016558.jpg											
1292011828	StillImage	image/jpeg	https://beaty.b-cdn.net/M016558b.jpg											
1292011581	StillImage	image/jpeg	https://beaty.b-cdn.net/M016297a.jpg											
1292011581	StillImage	image/jpeg	https://beaty.b-cdn.net/M016297.jpg											
1292011581	StillImage	image/jpeg	https://beaty.b-cdn.net/M016297b.jpg											
1292011581	StillImage	image/jpeg	https://beaty.b-cdn.net/M016297c.jpg											
1292011566	StillImage	image/jpeg	https://beaty.b-cdn.net/M016293.jpg											
1292011566	StillImage	image/jpeg	https://beaty.b-cdn.net/M016293b.jpg											
1292011566	StillImage	image/jpeg	https://beaty.b-cdn.net/M016293c.jpg											
1292011566	StillImage	image/jpeg	https://beaty.b-cdn.net/M016293a.jpg											
1292011562	StillImage	image/jpeg	https://beaty.b-cdn.net/M016294a.jpg											
1292011562	StillImage	image/jpeg	https://beaty.b-cdn.net/M016294c.jpg											
1292011562	StillImage	image/jpeg	https://beaty.b-cdn.net/M016294.jpg											
1292011562	StillImage	image/jpeg	https://beaty.b-cdn.net/M016294b.jpg											
1292011556	StillImage	image/jpeg	https://beaty.b-cdn.net/M016291a.jpg											
1292011556	StillImage	image/jpeg	https://beaty.b-cdn.net/M016291c.jpg											
1292011556	StillImage	image/jpeg	https://beaty.b-cdn.net/M016291b.jpg											
1292011556	StillImage	image/jpeg	https://beaty.b-cdn.net/M016291.jpg											
1292011550	StillImage	image/jpeg	https://beaty.b-cdn.net/M016292b.jpg											
1292011550	StillImage	image/jpeg	https://beaty.b-cdn.net/M016292c.jpg											
1292011550	StillImage	image/jpeg	https://beaty.b-cdn.net/M016292a.jpg											
